id,customerId,orderNumber,totalAmount,status
1,1,ORD-1001,89.99,DELIVERED
2,1,ORD-1002,15.50,SHIPPED
3,1,ORD-1003,230.00,DELIVERED
4,1,ORD-1004,45.75,DELIVERED
5,1,ORD-1005,120.00,DELIVERED
6,1,ORD-1006,8.99,DELIVERED
7,1,ORD-1007,350.00,DELIVERED
8,1,ORD-1008,67.25,DELIVERED
9,1,ORD-1009,19.99,DELIVERED
10,1,ORD-1010,499.00,SHIPPED
11,1,ORD-1011,33.50,DELIVERED
12,1,ORD-1012,12.00,RETURNED
13,1,ORD-1013,275.80,DELIVERED
14,1,ORD-1014,55.00,DELIVERED
15,1,ORD-1015,88.00,DELIVERED
16,1,ORD-1016,145.99,DELIVERED
17,1,ORD-1017,22.50,CANCELLED
18,1,ORD-1018,390.00,PROCESSING
19,2,ORD-2001,120.00,PROCESSING
20,2,ORD-2002,44.00,DELIVERED
21,3,ORD-3001,310.00,DELIVERED
22,3,ORD-3002,75.50,SHIPPED
23,3,ORD-3003,29.99,DELIVERED
24,4,ORD-4001,199.00,DELIVERED
25,4,ORD-4002,85.00,DELIVERED
26,5,ORD-5001,1200.00,DELIVERED
27,5,ORD-5002,340.00,DELIVERED
28,5,ORD-5003,89.99,DELIVERED
29,5,ORD-5004,450.00,DELIVERED
30,5,ORD-5005,15.00,DELIVERED
31,5,ORD-5006,670.50,DELIVERED
32,5,ORD-5007,230.00,RETURNED
33,5,ORD-5008,99.99,DELIVERED
34,5,ORD-5009,510.00,SHIPPED
35,5,ORD-5010,125.00,DELIVERED
36,5,ORD-5011,380.00,DELIVERED
37,5,ORD-5012,45.00,DELIVERED
38,5,ORD-5013,290.00,DELIVERED
39,5,ORD-5014,160.00,PROCESSING
40,5,ORD-5015,720.00,DELIVERED
41,5,ORD-5016,55.00,DELIVERED
42,5,ORD-5017,410.00,DELIVERED
43,5,ORD-5018,185.00,CANCELLED
44,6,ORD-6001,55.00,DELIVERED
45,6,ORD-6002,30.00,DELIVERED
46,6,ORD-6003,110.00,SHIPPED
47,7,ORD-7001,60.00,DELIVERED
48,7,ORD-7002,25.50,DELIVERED
49,8,ORD-8001,430.00,DELIVERED
50,10,ORD-10001,200.00,RETURNED
